Model,R2,R2_std,RMSE,RMSE_std,MAE,MAE_std
Random Forest,0.8398191862064068,0.08158042292183096,30666.889085928688,6069.232902135014,17696.51473032414,1818.010644901129
Lasso Regression,0.8354987990279948,0.155589074231129,29214.330603902177,11274.887060316005,14818.668433858184,1547.7092661563363
Gradient Boosting,0.8324578082159926,0.1307592204044719,30283.67255508106,9356.194288457815,16340.988780605014,1700.8157371179173
Ridge Regression,0.8293057801023103,0.167591463380242,29528.834215072344,11825.197757109168,15089.445721965185,1285.7511955452167
